# Wireshark / IEEE OUI database for NetScanner
# Format: <MAC prefix>\t<Short Name>\t<Full Vendor Name>
#
00:00:00	Officially	Officially Xerox, but 0:0:0:0:0:0 is more common
00:00:01	Xerox	Xerox Corporation
00:00:02	Xerox	Xerox Corporation
00:00:03	Xerox	Xerox Corporation
00:00:04	Xerox	Xerox Corporation
00:00:05	Xerox	Xerox Corporation
00:00:06	Xerox	Xerox Corporation
00:00:07	Xerox	Xerox Corporation
00:00:08	Xerox	Xerox Corporation
00:00:09	Xerox	Xerox Corporation
00:00:0C	Cisco	Cisco Systems, Inc
00:00:48	Seiko	Seiko Epson Corporation
00:00:85	Canon	Canon Inc.
00:00:97	Dell	Dell EMC
00:00:AA	Xerox	Xerox Corporation
00:00:C3	Harris	Harris Corporation
00:00:E2	Acer	Acer Technologies Corp.
00:00:F0	Samsung	Samsung Electronics Co.,Ltd
00:01:24	Acer	Acer Incorporated
00:01:2A	Telematica	Telematica Sistems Inteligente
00:01:42	Cisco	Cisco Systems, Inc
00:01:43	Cisco	Cisco Systems, Inc
00:01:44	Dell	Dell EMC
00:01:63	Cisco	Cisco Systems, Inc
00:01:64	Cisco	Cisco Systems, Inc
00:01:6C	Foxconn	Foxconn
00:01:96	Cisco	Cisco Systems, Inc
00:01:97	Cisco	Cisco Systems, Inc
00:01:C7	Cisco	Cisco Systems, Inc
00:01:C9	Cisco	Cisco Systems, Inc
00:01:E6	Hewlett	Hewlett Packard
00:01:E7	Hewlett	Hewlett Packard
00:02:16	Cisco	Cisco Systems, Inc
00:02:17	Cisco	Cisco Systems, Inc
00:02:20	Canon	Canon Finetech Inc.
00:02:3D	Cisco	Cisco Systems, Inc
00:02:3F	Compal	Compal Electronics INC.
00:02:4A	Cisco	Cisco Systems, Inc
00:02:4B	Cisco	Cisco Systems, Inc
00:02:68	Harris	Harris Government Communications
00:02:78	Samsung	Samsung Electro Mechanics Co., Ltd.
00:02:7D	Cisco	Cisco Systems, Inc
00:02:7E	Cisco	Cisco Systems, Inc
00:02:A5	Hewlett	Hewlett Packard
00:02:AF	TeleCruz	TeleCruz Technology, Inc.
00:02:B3	Intel	Intel Corporation
00:02:B9	Cisco	Cisco Systems, Inc
00:02:BA	Cisco	Cisco Systems, Inc
00:02:D1	Vivotek	Vivotek, Inc.
00:02:D8	BRECIS	BRECIS Communications Corporation
00:02:FC	Cisco	Cisco Systems, Inc
00:02:FD	Cisco	Cisco Systems, Inc
00:03:27	HMS	HMS Industrial Networks
00:03:31	Cisco	Cisco Systems, Inc
00:03:32	Cisco	Cisco Systems, Inc
00:03:47	Intel	Intel Corporation
00:03:6B	Cisco	Cisco Systems, Inc
00:03:6C	Cisco	Cisco Systems, Inc
00:03:7F	Atheros	Atheros Communications, Inc.
